Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Sleep_Hours,Study_Work_Hours,Notifications_Per_Day,Phone_Pickups,WellBeing_Status
4.7,6.7,3.1,6.2,5.9,113.0,83.0,HighRisk
3.3,2.9,4.3,6.8,3.4,,163.0,HighRisk
8.4,6.1,0.4,7.5,5.9,146.0,177.0,HighRisk
2.7,2.2,1.4,6.3,2.5,142.0,29.0,Moderate
5.8,6.0,4.4,5.9,8.5,22.0,173.0,HighRisk
2.8,4.2,3.8,5.1,4.0,29.0,97.0,HighRisk
8.7,3.2,3.3,8.7,3.0,104.0,12.0,HighRisk
2.2,5.1,4.6,6.6,4.0,170.0,89.0,HighRisk
5.8,2.1,2.0,5.4,7.2,97.0,165.0,Moderate
4.8,2.3,5.0,4.7,,108.0,104.0,HighRisk
8.1,2.0,0.4,7.4,6.9,163.0,111.0,Moderate
2.4,2.4,2.3,5.8,7.5,133.0,158.0,Moderate
6.9,6.9,4.5,5.5,1.0,117.0,39.0,HighRisk
9.1,6.5,2.1,7.9,2.7,83.0,81.0,HighRisk
8.8,1.3,4.5,6.7,4.4,119.0,18.0,HighRisk
9.3,3.9,4.0,8.4,8.4,34.0,21.0,HighRisk
8.2,4.9,3.9,5.9,7.0,79.0,84.0,HighRisk
6.5,2.1,3.8,8.2,,44.0,118.0,HighRisk
9.3,5.5,1.7,8.5,7.9,,92.0,HighRisk
9.3,2.9,1.4,7.6,1.1,153.0,26.0,HighRisk
2.4,1.2,3.7,8.5,8.7,20.0,88.0,Healthy
7.0,0.7,2.7,8.4,,163.0,,Moderate
8.8,3.1,1.5,8.5,3.9,144.0,104.0,HighRisk
7.2,0.7,3.8,6.9,8.0,51.0,11.0,Moderate
4.3,5.6,1.4,6.8,7.9,200.0,98.0,Moderate
9.2,2.9,4.4,7.2,7.2,129.0,,HighRisk
3.1,4.6,1.1,8.1,4.6,88.0,37.0,Moderate
,0.8,2.6,8.1,2.9,69.0,52.0,HighRisk
8.7,5.2,3.0,7.4,6.7,122.0,151.0,HighRisk
5.9,3.4,3.9,4.5,1.9,62.0,68.0,HighRisk
3.0,6.6,3.9,6.1,7.1,127.0,136.0,HighRisk
6.5,4.4,0.9,8.3,8.4,189.0,112.0,Moderate
8.0,6.9,4.9,8.0,4.4,64.0,51.0,HighRisk
3.9,,,7.0,5.4,134.0,119.0,Moderate
3.4,,1.3,6.1,8.6,75.0,31.0,Moderate
5.4,4.1,1.8,6.1,2.3,77.0,,HighRisk
4.9,1.2,4.5,6.5,7.0,45.0,102.0,Moderate
5.6,2.9,1.4,5.0,,69.0,174.0,HighRisk
3.3,1.8,3.3,7.9,7.5,196.0,174.0,Moderate
9.9,2.0,2.9,7.1,,85.0,47.0,HighRisk
7.8,6.1,2.3,5.0,2.8,77.0,169.0,HighRisk
,4.2,1.8,7.0,,48.0,66.0,HighRisk
3.5,2.5,1.7,4.5,4.4,24.0,118.0,Moderate
3.4,3.0,4.0,6.9,,,149.0,Moderate
8.2,3.6,4.4,9.0,2.8,149.0,91.0,HighRisk
6.8,4.2,4.5,5.6,3.6,,126.0,HighRisk
7.9,7.0,2.5,5.4,5.8,48.0,138.0,HighRisk
9.5,6.1,3.5,6.5,5.3,139.0,112.0,HighRisk
3.9,4.1,4.2,7.7,2.1,36.0,114.0,HighRisk
4.7,5.7,4.8,4.7,4.7,44.0,25.0,HighRisk
4.7,4.2,4.4,7.9,2.7,99.0,123.0,HighRisk
6.2,5.5,3.1,6.8,5.8,125.0,71.0,HighRisk
6.3,6.3,4.7,8.6,7.0,180.0,105.0,HighRisk
3.2,2.3,1.8,8.1,2.9,131.0,27.0,Moderate
8.7,6.1,2.9,4.9,8.9,80.0,156.0,HighRisk
7.2,3.0,2.6,8.1,1.3,192.0,68.0,HighRisk
2.2,3.4,5.0,6.0,7.6,41.0,93.0,Moderate
4.1,1.3,4.9,8.3,8.2,49.0,169.0,Moderate
2.9,0.8,1.7,8.6,8.6,98.0,78.0,Healthy
2.9,6.7,0.4,5.4,6.4,191.0,75.0,Moderate
4.8,3.4,4.8,7.2,5.3,103.0,150.0,HighRisk
7.6,3.9,,8.3,2.8,75.0,151.0,HighRisk
8.3,1.1,0.2,,8.3,86.0,82.0,Moderate
,4.2,1.8,5.0,,150.0,143.0,HighRisk
3.6,6.1,4.9,,6.4,45.0,159.0,HighRisk
2.2,6.8,0.9,8.6,4.0,147.0,24.0,Moderate
,2.1,1.1,5.4,8.7,,144.0,Moderate
7.2,3.1,2.0,8.5,8.6,67.0,72.0,Moderate
7.7,2.3,4.7,6.5,7.0,140.0,84.0,HighRisk
9.0,,2.7,8.4,7.9,197.0,15.0,HighRisk
9.0,4.9,4.9,7.7,7.6,195.0,105.0,HighRisk
3.4,2.7,4.0,8.2,,107.0,100.0,Moderate
2.4,1.8,4.5,7.2,8.3,54.0,24.0,Moderate
8.0,5.4,3.6,5.0,5.1,177.0,134.0,HighRisk
5.3,6.1,,6.0,8.9,172.0,176.0,HighRisk
4.8,1.8,0.9,4.9,1.6,139.0,102.0,HighRisk
5.1,0.9,4.5,5.5,3.1,88.0,40.0,HighRisk
9.7,,3.6,8.7,6.3,174.0,110.0,Moderate
3.4,1.3,4.4,6.8,3.6,118.0,53.0,Moderate
8.0,3.9,2.5,6.5,1.2,110.0,84.0,HighRisk
3.3,1.3,2.2,4.7,8.9,157.0,43.0,Moderate
5.1,0.8,2.1,4.6,1.2,36.0,116.0,HighRisk
8.6,3.5,0.1,5.2,6.9,119.0,36.0,HighRisk
7.4,3.5,3.6,6.4,5.2,44.0,29.0,HighRisk
5.6,2.7,1.0,7.9,5.3,141.0,170.0,Moderate
7.2,6.2,0.4,,4.6,144.0,21.0,HighRisk
9.2,3.9,1.2,5.7,7.5,,36.0,HighRisk
5.9,6.4,0.8,6.8,6.3,132.0,137.0,HighRisk
2.1,2.3,0.2,8.1,7.3,22.0,148.0,Healthy
5.9,0.7,1.5,7.4,3.5,63.0,120.0,Moderate
4.3,6.7,0.4,6.6,1.5,180.0,37.0,HighRisk
8.6,6.5,3.5,7.8,4.3,68.0,88.0,HighRisk
2.7,3.7,1.4,7.4,5.0,105.0,96.0,Moderate
4.5,3.7,2.9,5.0,6.2,78.0,16.0,HighRisk
5.8,3.1,0.4,5.8,4.0,170.0,124.0,Moderate
,4.7,4.3,7.3,4.2,27.0,141.0,HighRisk
9.0,2.8,0.3,6.5,9.0,91.0,171.0,Moderate
5.6,3.1,4.9,4.9,4.4,161.0,104.0,HighRisk
7.8,3.4,1.4,4.5,5.8,175.0,111.0,HighRisk
4.5,3.2,1.6,7.7,6.5,114.0,161.0,Moderate
6.4,6.1,3.7,5.6,3.0,150.0,70.0,HighRisk
5.2,2.2,1.7,5.5,,141.0,159.0,Moderate
10.0,0.7,2.6,6.6,4.1,36.0,11.0,HighRisk
8.3,0.7,0.4,5.0,1.1,115.0,147.0,HighRisk
4.0,7.0,3.7,5.6,8.9,82.0,83.0,HighRisk
3.3,1.7,3.4,4.9,5.7,154.0,59.0,Moderate
9.6,3.7,2.9,5.7,4.5,33.0,125.0,HighRisk
5.3,6.5,,6.5,7.7,143.0,135.0,HighRisk
3.5,,1.5,6.6,2.1,195.0,128.0,HighRisk
2.9,1.0,2.8,7.9,7.3,61.0,116.0,Healthy
8.9,5.3,4.4,5.2,5.0,177.0,166.0,HighRisk
7.8,2.9,0.2,7.1,6.8,184.0,118.0,Moderate
,3.2,2.1,5.0,4.1,182.0,28.0,HighRisk
,3.1,4.6,7.2,8.8,141.0,90.0,HighRisk
7.4,6.3,5.0,5.5,6.5,119.0,98.0,HighRisk
,5.7,0.4,8.6,5.9,129.0,106.0,Healthy
5.1,4.1,1.5,5.4,6.5,81.0,,Moderate
6.3,1.7,1.3,8.1,3.2,187.0,80.0,Moderate
2.0,2.9,2.5,4.6,1.1,164.0,52.0,HighRisk
2.8,,2.5,7.7,8.8,113.0,30.0,Healthy
2.9,0.9,1.0,5.0,,110.0,44.0,Moderate
2.1,2.8,4.1,5.9,6.7,175.0,12.0,Moderate
2.2,6.8,0.7,7.7,4.0,70.0,99.0,Moderate
10.0,1.8,4.1,6.8,8.7,100.0,135.0,HighRisk
4.6,4.8,3.7,8.8,4.5,150.0,157.0,Moderate
4.1,2.6,0.6,4.7,2.0,76.0,168.0,HighRisk
2.8,6.0,3.7,8.4,4.1,41.0,151.0,HighRisk
5.7,2.5,1.7,7.7,7.0,94.0,20.0,Moderate
4.7,5.1,4.9,8.6,8.8,123.0,30.0,HighRisk
6.9,1.9,1.2,8.3,7.0,62.0,151.0,Moderate
6.2,1.7,0.0,8.5,6.7,108.0,168.0,Healthy
2.4,3.2,1.9,5.3,2.2,95.0,,HighRisk
7.2,1.1,1.2,5.4,1.7,177.0,128.0,HighRisk
4.7,2.3,0.7,8.2,2.9,,164.0,Moderate
2.2,5.7,1.1,7.0,6.3,,161.0,Moderate
4.7,6.2,1.8,6.8,7.2,22.0,120.0,Moderate
,1.2,1.5,6.7,8.3,25.0,71.0,Moderate
4.6,4.3,2.8,7.9,1.1,198.0,16.0,HighRisk
5.3,5.8,,4.5,3.0,24.0,126.0,HighRisk
3.1,5.0,1.6,5.5,8.5,107.0,93.0,Moderate
5.7,2.4,1.9,8.3,8.8,92.0,102.0,Moderate
5.9,4.8,0.1,7.8,4.3,35.0,116.0,Moderate
2.6,5.5,1.2,8.3,6.7,,66.0,Moderate
9.3,2.5,0.6,4.9,1.9,28.0,69.0,HighRisk
2.2,5.8,4.2,6.9,8.1,86.0,52.0,Moderate
4.2,0.6,2.9,8.5,5.9,167.0,61.0,Healthy
2.5,2.6,0.2,4.8,,163.0,77.0,Moderate
3.8,2.5,4.7,7.8,7.1,194.0,101.0,Moderate
7.2,4.7,2.2,7.6,3.5,58.0,61.0,HighRisk
9.5,6.7,0.4,4.8,7.9,48.0,33.0,HighRisk
3.7,3.5,0.4,,2.1,163.0,110.0,Moderate
9.7,5.1,0.4,7.2,,37.0,76.0,HighRisk
9.5,1.4,2.3,,1.9,49.0,22.0,HighRisk
6.5,2.8,2.1,8.1,3.9,110.0,58.0,Moderate
2.6,,,,8.6,23.0,177.0,HighRisk
7.5,3.7,0.9,8.8,7.1,121.0,47.0,Moderate
,1.2,3.9,7.8,7.5,76.0,101.0,Moderate
,5.1,1.7,,2.2,177.0,83.0,HighRisk
6.9,2.8,3.1,5.5,8.4,185.0,169.0,HighRisk
9.9,6.2,1.6,4.7,8.7,128.0,92.0,HighRisk
8.5,4.6,1.7,8.0,5.2,102.0,23.0,HighRisk
4.7,2.2,1.0,7.0,2.4,67.0,115.0,Moderate
3.9,3.6,4.9,,3.6,192.0,17.0,HighRisk
7.0,4.5,,6.6,8.9,119.0,61.0,HighRisk
2.3,2.9,2.4,5.0,4.3,49.0,26.0,Moderate
2.0,1.6,4.7,5.6,7.8,173.0,,Moderate
9.4,1.0,1.3,4.8,2.2,189.0,165.0,HighRisk
4.7,5.1,1.5,7.1,6.3,126.0,62.0,Moderate
2.2,3.0,0.5,5.5,6.3,152.0,54.0,Moderate
3.9,,0.9,6.3,2.2,95.0,153.0,Moderate
9.5,2.8,2.3,4.9,8.3,23.0,46.0,HighRisk
6.1,3.3,0.3,5.5,7.8,89.0,133.0,Moderate
3.5,2.8,3.1,6.9,5.2,200.0,110.0,Moderate
8.8,5.1,2.0,5.7,8.6,178.0,100.0,HighRisk
6.9,6.0,1.4,8.9,8.1,120.0,147.0,Moderate
4.2,6.3,0.5,5.3,5.9,117.0,157.0,Moderate
6.6,,3.0,5.6,7.6,115.0,100.0,HighRisk
4.2,6.1,1.5,6.1,7.3,193.0,34.0,Moderate
2.1,1.6,1.1,4.9,3.3,,99.0,Moderate
9.3,3.8,0.7,6.7,5.1,150.0,,HighRisk
6.8,2.5,1.4,8.4,4.3,33.0,62.0,Moderate
5.8,5.0,3.7,7.4,2.6,164.0,37.0,HighRisk
5.0,4.1,4.3,7.4,6.6,111.0,122.0,Moderate
4.8,1.4,3.7,8.8,6.9,44.0,82.0,Moderate
4.1,6.1,1.1,7.8,3.5,,148.0,HighRisk
9.1,3.9,4.8,7.7,2.7,25.0,106.0,HighRisk
2.6,4.8,4.2,8.7,4.1,118.0,67.0,Moderate
5.4,3.1,1.7,4.8,1.1,33.0,63.0,HighRisk
4.0,5.2,0.8,7.6,6.8,20.0,,Moderate
2.4,3.0,1.3,6.2,1.4,84.0,30.0,Moderate
9.5,2.5,4.5,5.2,2.2,39.0,167.0,HighRisk
4.2,4.1,2.0,8.6,2.1,174.0,96.0,Moderate
8.2,1.5,2.7,7.8,5.2,,148.0,Moderate
4.0,2.5,4.0,8.3,6.8,70.0,108.0,Moderate
6.4,2.6,2.0,8.4,2.9,191.0,36.0,Moderate
2.5,6.8,0.6,8.5,5.3,22.0,30.0,Moderate
9.6,5.7,3.3,7.5,2.1,60.0,30.0,HighRisk
5.4,1.2,0.1,4.6,6.9,83.0,54.0,Moderate
5.9,2.1,2.7,5.1,2.3,160.0,94.0,HighRisk
2.2,6.5,1.7,8.7,1.5,108.0,116.0,HighRisk
,1.4,4.0,4.7,8.4,194.0,50.0,HighRisk
2.4,5.7,0.8,7.5,8.3,98.0,141.0,Moderate
3.7,1.2,3.3,7.5,3.6,93.0,140.0,Moderate
3.3,1.7,2.2,,7.8,174.0,109.0,Moderate
2.1,6.3,1.7,5.0,3.6,32.0,126.0,HighRisk
4.0,,4.1,5.5,8.2,187.0,,HighRisk
4.3,1.2,0.5,8.5,5.0,127.0,13.0,Healthy
5.3,6.8,2.1,5.1,2.4,141.0,33.0,HighRisk
4.2,4.3,1.3,7.4,8.2,145.0,66.0,Moderate
8.6,0.6,4.3,8.7,3.5,41.0,132.0,HighRisk
4.1,3.3,1.8,6.7,1.5,194.0,90.0,HighRisk
4.1,1.8,0.4,6.9,3.7,115.0,70.0,Moderate
9.5,2.6,0.6,6.9,8.1,124.0,20.0,Moderate
,2.4,1.2,8.7,3.2,190.0,140.0,Moderate
6.9,1.5,0.1,4.9,6.2,142.0,77.0,Moderate
4.1,4.9,4.4,8.8,4.1,42.0,56.0,HighRisk
7.9,5.1,,4.9,,127.0,,HighRisk
8.2,5.6,5.0,8.7,8.5,167.0,150.0,HighRisk
2.6,2.0,1.5,4.9,3.0,57.0,73.0,Moderate
4.1,3.8,0.7,7.2,5.9,171.0,139.0,Moderate
3.3,1.3,5.0,6.8,4.3,153.0,68.0,Moderate
9.7,1.5,0.8,9.0,4.0,31.0,135.0,Moderate
4.2,3.2,,4.9,6.6,60.0,108.0,Moderate
3.0,5.7,1.2,7.3,7.2,21.0,31.0,Moderate
5.5,6.5,0.8,7.7,3.0,35.0,85.0,HighRisk
3.5,0.8,3.9,8.2,,115.0,42.0,Moderate
5.7,3.9,2.6,6.4,8.4,94.0,145.0,Moderate
7.2,1.7,3.6,8.7,4.4,173.0,180.0,Moderate
4.9,6.7,0.8,8.1,8.4,158.0,78.0,Moderate
5.9,0.9,4.9,8.3,2.6,82.0,44.0,HighRisk
7.6,2.4,2.0,8.5,3.6,192.0,75.0,Moderate
9.7,0.6,2.5,7.3,1.1,59.0,14.0,HighRisk
,4.5,,5.7,7.2,89.0,146.0,Moderate
4.7,6.6,4.9,5.3,8.8,164.0,131.0,HighRisk
9.9,5.0,4.6,4.6,2.5,46.0,32.0,HighRisk
9.9,2.4,4.3,8.7,5.7,142.0,102.0,HighRisk
8.3,3.5,1.5,8.7,1.7,137.0,25.0,HighRisk
4.5,4.6,0.6,7.5,5.4,117.0,19.0,Moderate
2.0,6.4,3.1,8.3,5.2,165.0,,Moderate
7.2,1.4,3.1,6.7,1.4,142.0,68.0,HighRisk
5.8,2.3,0.8,8.6,,139.0,70.0,Moderate
6.8,2.5,0.4,6.4,3.4,171.0,,Moderate
3.8,2.0,1.6,5.3,4.2,152.0,116.0,Moderate
8.8,1.2,1.7,7.3,2.8,196.0,137.0,HighRisk
7.7,1.9,0.5,4.8,2.5,90.0,75.0,HighRisk
4.4,3.6,4.3,5.5,1.3,143.0,176.0,HighRisk
5.4,2.4,3.6,8.1,7.6,101.0,137.0,Moderate
,1.8,3.7,5.7,6.8,33.0,41.0,HighRisk
5.4,3.1,0.2,8.5,6.4,34.0,57.0,Moderate
7.3,2.7,2.5,5.1,2.3,149.0,103.0,HighRisk
7.1,4.4,3.9,6.9,6.4,181.0,140.0,HighRisk
3.3,1.2,4.6,7.5,6.6,80.0,64.0,Moderate
7.9,2.2,2.4,5.6,5.5,37.0,120.0,HighRisk
4.8,0.6,3.5,8.9,1.7,93.0,128.0,Moderate
4.4,3.8,2.3,8.6,5.3,85.0,40.0,Moderate
2.1,,2.6,,7.6,117.0,104.0,Moderate
9.5,2.0,0.8,5.4,6.3,142.0,170.0,HighRisk
7.0,5.0,0.7,8.9,1.9,111.0,166.0,HighRisk
9.2,4.4,3.2,5.5,3.9,96.0,175.0,HighRisk
3.2,3.9,3.6,5.1,7.4,84.0,129.0,Moderate
9.9,4.7,4.4,5.8,4.7,72.0,173.0,HighRisk
5.0,0.8,2.2,5.2,8.5,43.0,132.0,Moderate
4.4,0.6,0.1,6.9,7.6,39.0,41.0,Healthy
8.9,4.6,,7.0,2.4,,95.0,HighRisk
3.1,3.2,1.0,8.4,5.5,148.0,159.0,Healthy
9.1,,3.9,5.1,7.3,79.0,128.0,HighRisk
2.4,2.6,2.4,6.2,2.5,160.0,17.0,Moderate
3.6,4.3,3.4,8.9,1.7,22.0,61.0,HighRisk
9.0,3.3,3.4,8.2,3.2,141.0,130.0,HighRisk
4.9,2.9,4.9,8.2,2.6,123.0,118.0,HighRisk
7.1,6.7,0.2,5.0,8.0,38.0,54.0,HighRisk
3.8,3.7,,7.7,6.1,103.0,84.0,Moderate
5.4,2.5,1.6,9.0,4.3,39.0,61.0,Moderate
2.7,3.3,1.6,5.2,1.2,35.0,160.0,HighRisk
4.4,6.2,2.9,8.1,9.0,181.0,20.0,Moderate
4.5,6.8,3.6,6.8,2.7,50.0,177.0,HighRisk
7.4,0.7,2.3,8.2,5.1,,112.0,Moderate
7.7,4.5,3.3,5.2,5.2,172.0,172.0,HighRisk
,1.6,,5.9,2.0,151.0,140.0,HighRisk
9.9,0.9,2.4,6.8,7.3,124.0,38.0,HighRisk
8.9,6.3,2.5,4.8,3.5,195.0,144.0,HighRisk
8.1,6.2,4.8,7.4,1.9,109.0,166.0,HighRisk
3.5,1.8,0.2,8.8,8.7,115.0,77.0,Healthy
2.6,3.2,3.8,8.2,1.2,72.0,119.0,HighRisk
9.3,4.2,2.8,8.9,3.4,,78.0,HighRisk
3.0,6.4,,6.9,3.8,85.0,,HighRisk
8.2,4.2,2.1,7.3,7.6,196.0,149.0,HighRisk
2.1,2.2,3.1,7.9,1.9,197.0,108.0,Moderate
5.9,0.9,4.7,5.7,3.5,167.0,16.0,HighRisk
7.1,4.8,0.8,6.9,6.2,20.0,52.0,Moderate
9.9,0.9,0.2,5.6,3.8,45.0,134.0,HighRisk
,5.2,4.1,7.8,8.0,114.0,177.0,HighRisk
4.2,4.6,1.8,4.8,7.8,91.0,147.0,Moderate
6.0,3.5,0.6,5.1,7.4,26.0,89.0,Moderate
,5.6,2.7,6.5,4.8,113.0,37.0,Moderate
2.0,0.9,4.2,9.0,2.9,198.0,55.0,Moderate
7.6,4.8,3.9,8.6,3.1,196.0,60.0,HighRisk
3.1,6.8,3.8,5.3,6.9,78.0,51.0,HighRisk
6.0,5.8,1.7,4.7,3.8,135.0,108.0,HighRisk
2.8,2.5,4.3,5.2,4.1,108.0,24.0,HighRisk
8.6,2.3,,5.7,2.6,169.0,138.0,HighRisk
6.0,4.2,3.0,7.4,5.1,48.0,72.0,HighRisk
5.1,1.1,4.7,8.6,4.3,34.0,150.0,Moderate
6.3,,3.6,4.9,6.9,94.0,68.0,HighRisk
6.7,1.8,,4.6,,192.0,171.0,HighRisk
,4.4,2.8,7.4,7.6,110.0,112.0,HighRisk
8.3,3.5,4.8,5.1,,127.0,40.0,HighRisk
4.4,5.2,2.5,5.9,,139.0,61.0,HighRisk
9.6,0.9,0.7,5.7,5.2,158.0,131.0,HighRisk
9.9,5.5,5.0,5.6,7.0,84.0,114.0,HighRisk
2.4,5.8,1.0,4.6,6.6,118.0,66.0,Moderate
4.4,0.9,0.6,5.1,6.8,78.0,60.0,Moderate
4.0,3.1,1.9,5.7,6.7,182.0,29.0,Moderate
6.1,1.3,,7.6,5.3,94.0,69.0,Moderate
6.8,4.0,2.5,8.0,5.3,25.0,89.0,HighRisk
6.3,6.1,,8.4,2.6,65.0,120.0,HighRisk
2.7,2.5,4.1,7.1,6.1,25.0,147.0,Moderate
6.7,2.8,4.5,6.4,5.0,74.0,133.0,HighRisk
8.3,0.7,,4.9,5.6,,17.0,Moderate
2.9,4.4,1.7,8.0,6.6,196.0,,Moderate
,2.8,0.1,8.2,4.6,151.0,157.0,HighRisk
8.8,2.2,1.6,4.9,6.5,,52.0,HighRisk
,0.9,5.0,6.3,5.4,118.0,46.0,HighRisk
5.9,3.9,2.1,5.3,8.8,100.0,76.0,HighRisk
2.5,6.3,0.4,8.0,1.5,101.0,72.0,Moderate
8.8,3.4,2.8,8.3,8.8,175.0,162.0,HighRisk
9.5,1.4,1.1,4.8,,173.0,97.0,HighRisk
7.8,5.0,4.4,5.8,,42.0,162.0,HighRisk
7.0,4.6,2.0,8.7,4.9,28.0,22.0,HighRisk
7.8,6.6,3.8,5.5,6.5,108.0,90.0,HighRisk
3.8,3.7,2.2,8.6,5.7,91.0,99.0,Moderate
7.0,2.7,4.2,,2.7,61.0,69.0,HighRisk
,7.0,0.8,6.0,8.1,86.0,103.0,HighRisk
7.7,4.8,,7.8,6.0,115.0,32.0,HighRisk
2.6,1.5,1.3,6.8,,137.0,18.0,Healthy
2.7,6.9,1.0,7.2,8.2,80.0,129.0,Moderate
5.8,5.7,2.1,7.9,3.0,79.0,92.0,HighRisk
4.9,3.4,0.5,8.9,8.2,,160.0,Healthy
3.1,1.3,0.2,6.3,7.9,120.0,60.0,Healthy
2.9,0.7,2.9,7.5,8.2,199.0,57.0,Healthy
5.1,1.6,2.5,5.6,4.3,78.0,130.0,Moderate
7.9,3.3,1.2,8.1,7.8,,48.0,Moderate
4.0,5.6,1.8,8.6,3.1,144.0,112.0,Moderate
8.0,1.9,3.1,7.1,4.4,138.0,62.0,HighRisk
8.5,5.2,4.1,7.9,2.2,116.0,101.0,HighRisk
6.3,1.3,0.8,8.6,3.7,81.0,76.0,Moderate
3.1,5.7,0.5,8.8,7.2,166.0,174.0,Moderate
3.9,5.4,0.1,7.0,3.5,143.0,36.0,Moderate
8.1,3.7,2.4,4.8,2.9,137.0,,HighRisk
8.3,6.4,2.6,5.6,6.7,177.0,157.0,HighRisk
6.0,4.1,3.0,7.8,4.6,,140.0,HighRisk
9.5,5.3,4.9,8.7,2.0,27.0,129.0,HighRisk
6.8,5.3,2.7,7.4,1.9,96.0,137.0,HighRisk
6.8,5.3,1.0,5.1,4.6,100.0,91.0,HighRisk
9.7,1.9,2.3,6.0,1.1,178.0,165.0,HighRisk
,4.9,2.7,4.8,7.7,155.0,16.0,HighRisk
8.3,5.5,4.3,7.7,4.1,135.0,50.0,HighRisk
7.3,5.6,4.9,6.7,4.3,156.0,45.0,HighRisk
8.3,6.8,3.0,7.4,6.5,110.0,162.0,HighRisk
2.5,6.1,2.9,4.7,7.0,75.0,101.0,HighRisk
4.0,4.3,3.7,5.3,4.8,27.0,144.0,HighRisk
2.4,2.1,3.3,8.5,4.4,178.0,155.0,Moderate
